                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0239,                0.63884,                0.83241,                0.83066,                0.30915,                 0.3824,                0.18168,                 2.2183,                  1.765,                0.98483,             0.00052397,             0.00052397,             0.00052397
                     36,                  1.053,                0.64226,                0.84178,                0.85054,                0.31481,                0.37685,                0.17443,                 2.1204,                 1.5902,                0.96517,             0.00052203,             0.00052203,             0.00052203
                     37,                 1.0065,                0.61595,                0.83648,                0.82839,                 0.2963,                0.35606,                0.17549,                 2.1315,                 1.4947,                0.96055,             0.00052009,             0.00052009,             0.00052009
                     38,                 1.0657,                0.63092,                0.85003,                0.74652,                0.30935,                0.36344,                0.18479,                 1.9837,                 1.4806,                0.93321,             0.00051815,             0.00051815,             0.00051815
                     39,                0.98532,                 0.5922,                0.85461,                0.83107,                0.31481,                 0.3894,                0.19345,                 1.9718,                   1.58,                0.92738,             0.00051621,             0.00051621,             0.00051621
                     40,                0.98991,                0.62842,                0.85923,                0.61263,                0.33333,                0.39052,                0.20515,                 1.9116,                 1.4729,                 0.9122,             0.00051426,             0.00051426,             0.00051426
                     41,                 1.0966,                0.61838,                 0.8476,                0.81052,                0.35108,                0.40052,                0.21979,                 1.8641,                 1.4816,                0.90646,             0.00051232,             0.00051232,             0.00051232
                     42,                 1.0409,                0.60475,                0.86042,                0.83041,                0.33333,                0.38679,                0.20574,                 1.8574,                 1.5485,                0.90634,             0.00051038,             0.00051038,             0.00051038
                     43,                 1.0051,                0.59345,                0.83905,                0.71422,                0.33333,                 0.3912,                 0.1778,                 2.0018,                 1.6585,                0.93752,             0.00050844,             0.00050844,             0.00050844
                     44,                 1.0093,                0.56481,                0.84467,                 0.7952,                0.38002,                0.42779,                0.18431,                 1.8727,                 1.5916,                0.93292,              0.0005065,              0.0005065,              0.0005065
                     45,                0.93355,                0.54586,                0.83165,                0.80386,                0.38442,                0.42403,                0.19553,                  1.911,                 1.5811,                0.93813,             0.00050456,             0.00050456,             0.00050456
                     46,                0.94237,                0.54741,                0.81524,                 0.6579,                0.37037,                0.38698,                0.16424,                 1.9367,                  1.505,                0.93884,             0.00050262,             0.00050262,             0.00050262
                     47,                0.94467,                0.52975,                0.84314,                0.86252,                0.31408,                0.39093,                0.18667,                 1.9767,                 1.5435,                 0.9236,             0.00050068,             0.00050068,             0.00050068
                     48,                0.89065,                0.53035,                0.83721,                0.86589,                 0.3081,                 0.3711,                0.20062,                 1.9297,                 1.7147,                0.91791,             0.00049874,             0.00049874,             0.00049874
                     49,                0.92788,                 0.5271,                0.83721,                0.87073,                0.30408,                 0.3742,                0.19246,                 1.9882,                 1.7957,                0.92603,              0.0004968,              0.0004968,              0.0004968
                     50,                 0.8456,                 0.4988,                0.82405,                0.73063,                0.30275,                0.35899,                0.17041,                 1.9637,                 1.8274,                0.91937,             0.00049486,             0.00049486,             0.00049486
                     51,                0.98262,                0.56867,                0.83597,                0.86778,                 0.2963,                0.34674,                0.18161,                 1.8239,                 1.7503,                0.91734,             0.00049292,             0.00049292,             0.00049292
                     52,                 0.9464,                 0.5338,                0.81718,                0.75536,                0.30327,                0.36952,                0.17918,                 1.8174,                  1.894,                0.93206,             0.00049098,             0.00049098,             0.00049098
                     53,                0.91988,                0.53032,                 0.8326,                0.74864,                0.30764,                0.36878,                0.17335,                  1.816,                 1.8482,                0.92355,             0.00048904,             0.00048904,             0.00048904
                     54,                0.83792,                0.50067,                0.81547,                0.79789,                0.35185,                0.36463,                0.17811,                 1.8792,                 1.8497,                0.92446,              0.0004871,              0.0004871,              0.0004871
                     55,                0.87761,                0.51416,                0.82426,                0.63274,                0.35185,                0.36231,                0.17915,                 1.9446,                 1.8824,                0.92475,             0.00048516,             0.00048516,             0.00048516
                     56,                0.99227,                0.56212,                0.84074,                0.61031,                0.35185,                0.37234,                0.18189,                 2.0406,                 1.8699,                0.94024,             0.00048322,             0.00048322,             0.00048322
                     57,                0.90004,                0.50509,                0.82343,                0.64547,                0.35185,                0.36976,                0.18097,                 1.9813,                 1.8069,                 0.9387,             0.00048128,             0.00048128,             0.00048128
                     58,                0.84989,                0.49524,                0.82059,                0.66668,                0.35185,                0.37141,                0.17865,                 2.0037,                 1.7913,                0.93694,             0.00047934,             0.00047934,             0.00047934
                     59,                0.84257,                0.50331,                0.82114,                0.65293,                0.35185,                0.37376,                0.17991,                 2.0405,                 1.8564,                0.94389,              0.0004774,              0.0004774,              0.0004774
                     60,                0.86221,                 0.4919,                0.82104,                0.50928,                0.35185,                0.38065,                0.16998,                 1.9931,                 1.7492,                0.94797,             0.00047546,             0.00047546,             0.00047546
                     61,                0.84597,                0.49824,                0.81954,                 0.8719,                0.30941,                0.38393,                0.19067,                 1.9594,                 1.7071,                0.93891,             0.00047352,             0.00047352,             0.00047352
                     62,                0.89257,                0.51017,                0.82112,                 0.8481,                0.31071,                0.38816,                  0.172,                 2.0078,                 1.6686,                0.94647,             0.00047158,             0.00047158,             0.00047158
                     63,                0.85483,                0.49433,                0.81341,                0.58382,                0.35185,                0.38673,                0.16406,                 2.0829,                 1.8028,                0.96857,             0.00046964,             0.00046964,             0.00046964
                     64,                0.82082,                 0.4939,                0.80856,                0.58257,                0.35185,                0.37788,                0.19784,                 2.0837,                 1.8274,                0.96088,              0.0004677,              0.0004677,              0.0004677
                     65,                0.80709,                 0.4845,                0.80854,                0.73186,                0.35185,                0.37077,                0.19821,                 2.0357,                 1.7693,                0.94478,             0.00046575,             0.00046575,             0.00046575
                     66,                0.87391,                0.48114,                0.82973,                 0.7353,                0.33333,                0.35483,                0.18518,                 2.0494,                 1.8442,                0.94403,             0.00046381,             0.00046381,             0.00046381
                     67,                0.81343,                 0.4639,                0.81486,                0.58233,                0.35185,                0.38377,                0.18295,                 2.0819,                 1.8223,                0.94474,             0.00046187,             0.00046187,             0.00046187
                     68,                0.84571,                0.48324,                0.82008,                0.84715,                0.31481,                0.37199,                0.18773,                 2.0128,                 1.8687,                  0.941,             0.00045993,             0.00045993,             0.00045993
                     69,                0.79893,                0.46691,                0.81688,                0.75034,                 0.3506,                0.37954,                0.20384,                 1.9542,                 1.7599,                0.92622,             0.00045799,             0.00045799,             0.00045799
                     70,                0.83335,                0.46014,                0.82808,                0.85835,                0.31481,                0.37278,                0.21057,                 1.9889,                  1.787,                0.93063,             0.00045605,             0.00045605,             0.00045605
                     71,                0.76122,                0.44251,                0.83043,                0.84429,                0.31481,                0.37131,                0.19583,                 1.9597,                 1.8153,                0.93692,             0.00045411,             0.00045411,             0.00045411
                     72,                 0.8028,                0.45429,                0.82648,                0.63641,                0.38295,                0.42004,                0.20024,                 1.9125,                 1.5682,                0.92725,             0.00045217,             0.00045217,             0.00045217
                     73,                0.79062,                0.44992,                0.81928,                 0.6337,                0.38889,                0.42901,                0.21465,                 1.9075,                  1.536,                0.91991,             0.00045023,             0.00045023,             0.00045023
                     74,                0.83796,                0.47822,                0.81364,                0.68442,                0.43288,                0.47855,                0.22329,                 1.8955,                 1.5358,                0.91752,             0.00044829,             0.00044829,             0.00044829
                     75,                0.77711,                0.47756,                 0.8102,                0.70055,                 0.4099,                0.46818,                0.21327,                 1.9377,                 1.5659,                0.92428,             0.00044635,             0.00044635,             0.00044635
                     76,                 0.8005,                0.43437,                0.82045,                0.65426,                0.38283,                0.43847,                0.20987,                 1.9589,                 1.6501,                0.94287,             0.00044441,             0.00044441,             0.00044441
                     77,                0.76353,                0.44018,                0.79826,                0.66193,                0.36015,                0.42387,                0.21357,                 1.9824,                 1.7023,                0.94597,             0.00044247,             0.00044247,             0.00044247
                     78,                 0.8312,                 0.4636,                0.81309,                0.65936,                0.35185,                0.37892,                0.19256,                 1.9967,                 1.8617,                0.94445,             0.00044053,             0.00044053,             0.00044053
                     79,                0.81451,                0.45564,                 0.8164,                0.52009,                0.38889,                0.43753,                0.20177,                 1.9141,                 1.8361,                0.92796,             0.00043859,             0.00043859,             0.00043859
                     80,                0.80448,                0.45216,                0.83222,                0.80977,                0.35185,                0.39673,                0.19384,                  1.923,                  1.909,                0.91626,             0.00043665,             0.00043665,             0.00043665
                     81,                0.78002,                0.44366,                0.81188,                0.77936,                0.35185,                 0.3997,                0.18383,                 1.9924,                 1.9473,                0.92713,             0.00043471,             0.00043471,             0.00043471
                     82,                0.84051,                0.44623,                  0.826,                0.71363,                0.33283,                0.39938,                0.18443,                 2.0507,                 2.0646,                0.94386,             0.00043277,             0.00043277,             0.00043277
                     83,                0.78653,                0.44518,                0.80718,                0.58851,                0.34295,                0.39695,                0.20053,                 2.0117,                 2.0605,                0.94337,             0.00043083,             0.00043083,             0.00043083
                     84,                0.77257,                 0.4375,                0.79437,                0.55055,                0.35185,                0.39495,                0.18719,                 2.0589,                 2.0983,                0.96383,             0.00042889,             0.00042889,             0.00042889
                     85,                0.75184,                0.43729,                0.81254,                0.71658,                0.36889,                0.42506,                0.18168,                 2.0236,                 2.0529,                0.96619,             0.00042695,             0.00042695,             0.00042695
                     86,                 0.7988,                0.44188,                0.80691,                0.58029,                0.37037,                0.42322,                0.18401,                 2.0044,                 2.0669,                 0.9568,             0.00042501,             0.00042501,             0.00042501
                     87,                0.76566,                 0.4378,                0.80097,                0.51865,                0.35185,                0.39703,                0.18601,                 2.0539,                 2.0537,                0.96227,             0.00042307,             0.00042307,             0.00042307
                     88,                0.81713,                0.45401,                0.80523,                0.52889,                0.35185,                0.40834,                0.18885,                 2.0858,                 1.9531,                 0.9653,             0.00042113,             0.00042113,             0.00042113
